E:/Scott/Data/20231110/images/20231110_P01_t001.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t061.png 3 {'earlyprometaphase': 2, 'lateprometaphase': 4, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t061.png 4 {'earlyprometaphase': 8, 'lateprometaphase': 12, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P06_t032.png 1 {'earlyprometaphase': 'blurry', 'lateprometaphase': 'blurry', 'metaphase': 'blurry', 'anaphase': 'blurry'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P06_t061.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 8, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P06_t061.png 2 {'earlyprometaphase': 3, 'lateprometaphase': 5, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t001.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t008.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 4} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t050.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t050.png 2 {'earlyprometaphase': 4, 'lateprometaphase': 6, 'metaphase': 8, 'anaphase': 10} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t050.png 3 {'earlyprometaphase': 'blurry', 'lateprometaphase': 'blurry', 'metaphase': 'blurry', 'anaphase': 'blurry'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t052.png 1 {'earlyprometaphase': 7, 'lateprometaphase': 9, 'metaphase': 12, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t053.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t061.png 1 {'earlyprometaphase': 6, 'lateprometaphase': 8, 'metaphase': 11, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P07_t061.png 2 {'earlyprometaphase': 9, 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t001.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t012.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 0, 'metaphase': 3, 'anaphase': 6} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t016.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t018.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 8, 'metaphase': 11, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t023.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 9, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t032.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 7, 'metaphase': 9, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t026.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 6, 'metaphase': 10, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t033.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 11} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t038.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 9, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t058.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 8, 'metaphase': 12, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t061.png 1 {'earlyprometaphase': 6, 'lateprometaphase': 8, 'metaphase': 12, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t061.png 2 {'earlyprometaphase': 3, 'lateprometaphase': 7, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t061.png 3 {'earlyprometaphase': 4, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P08_t061.png 4 {'earlyprometaphase': 3, 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P09_t005.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P09_t007.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 2} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P09_t023.png 1 {'earlyprometaphase': 2, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 18} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P09_t041.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t002.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t006.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 1} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t023.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t022.png 1 {'earlyprometaphase': 'blurry', 'lateprometaphase': 'blurry', 'metaphase': 'blurry', 'anaphase': 'blurry'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t035.png 1 {'earlyprometaphase': 10, 'lateprometaphase': 14, 'metaphase': 16, 'anaphase': 20} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t040.png 1 {'earlyprometaphase': 7, 'lateprometaphase': 11, 'metaphase': 14, 'anaphase': 16} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P10_t059.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 5, 'metaphase': 8, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
